date,S,vix,r,sentiment,return,rolling_vol,rv_lag1,target_vol_t1,benchmark_bsm_price
2018-02-01,93.48382568359375,13.470000267028809,2.78,0.049578,0.010374362832152428,0.11262444572639617,0.11071396155748767,0.14024696275058213,6.246550022932979
2018-02-05,87.02867126464844,37.31999969482422,2.77,0.159863,-0.04795232943673644,0.2260662280612478,0.14024696275058213,0.25011812093420444,1.2643250968941473
2018-02-06,89.67634582519531,29.979999542236328,2.79,-0.241822,0.03042301487627541,0.25011812093420444,0.2260662280612478,0.2504917631227481,3.7616734432572514
2018-02-07,90.28426361083984,27.729999542236328,2.84,0.187647,0.006779020488073106,0.2504917631227481,0.25011812093420444,0.2962114275892631,4.649014279303998
2018-02-08,86.29276275634766,33.459999084472656,2.85,0.023185,-0.044210371717679386,0.2962114275892631,0.2504917631227481,0.30478327918079545,2.2754313187956967
2018-02-12,89.38035583496094,25.610000610351562,2.86,0.00625,0.015448954050293784,0.30403449627260615,0.30478327918079545,0.30458829165757256,4.628905467589966
2018-02-14,92.01202392578125,19.260000228881836,2.91,0.161453,0.023125562826375567,0.31468383789900306,0.30458829165757256,0.31484557055862805,6.76735769722913
2018-02-21,92.1400146484375,20.020000457763672,2.94,0.279158,0.004184540167045725,0.3137227011224163,0.31348302374097997,0.3104765030364906,7.099964575510597
2018-02-23,93.83577728271484,16.489999771118164,2.88,0.029771,0.020264360959562078,0.31880511280177,0.3104765030364906,0.3211081137949108,8.110671257247361
2018-03-01,90.73219299316406,22.469999313354492,2.81,0.265636,-0.017922078715703393,0.3336596041153102,0.32787268131120173,0.3310562047501638,5.522006730902369
2018-03-02,90.6441879272461,19.59000015258789,2.86,0.340387,-0.0009699431151697357,0.3310562047501638,0.3336596041153102,0.326502322234562,5.752289994613228
2018-03-05,92.0360336303711,18.729999542236328,2.88,0.185501,0.015355046307460318,0.326502322234562,0.3310562047501638,0.2717192460035164,6.840890640946981
2018-03-08,91.7800521850586,16.540000915527344,2.86,-0.11266799999999999,8.737404337466614e-05,0.25151281970607003,0.25233141690707256,0.2072456803594131,5.906864453977718
2018-03-12,94.11575317382812,15.779999732971191,2.87,0.2193955,-0.003219029947046592,0.20060723058826901,0.2072456803594131,0.2024315938464524,7.716549558091131
2018-03-14,91.94803619384766,17.229999542236328,2.81,0.077854,-0.011182621617727762,0.207071889048128,0.2024315938464524,0.1903644524043059,5.400568288129463
2018-03-15,92.18000030517578,16.59000015258789,2.82,-0.162101,0.0025227739594033682,0.1903644524043059,0.207071889048128,0.18987881976964832,5.684899694820899
2018-03-20,91.70006561279297,18.200000762939453,2.89,0.250276,0.0009603774353275085,0.19027507437848595,0.19024628321880635,0.18967988588849066,5.597508066882014
2018-03-21,91.7800521850586,17.860000610351562,2.89,0.0674945,0.0008722629774702284,0.18967988588849066,0.19027507437848595,0.24053354658910328,5.6669355473789125
2018-03-22,87.94853973388672,23.34000015258789,2.83,-0.446484,-0.04174667980626434,0.24053354658910328,0.18967988588849066,0.24037281043025432,2.4849380631517235
2018-03-26,88.23651123046875,21.030000686645508,2.85,0.21189099999999997,0.030838328423660855,0.26513546580722175,0.24037281043025432,0.2695769329035179,3.239530932198349
2018-03-27,86.52473449707031,22.5,2.78,0.1584705,-0.01939986871112087,0.2695769329035179,0.26513546580722175,0.2659451142441868,2.3041193667475213
2018-03-28,86.38876342773438,22.8700008392334,2.77,-0.119278,-0.0015714705179539212,0.2659451142441868,0.2695769329035179,0.2703679858823247,2.2531612796471308
2018-03-29,87.96455383300781,19.969999313354492,2.74,0.06415266666666666,0.018240687130469446,0.2703679858823247,0.2659451142441868,0.27768461276278383,2.9022959564421456
2018-04-02,86.2687759399414,23.6200008392334,2.73,0.004452,-0.019277968444945226,0.27768461276278383,0.2703679858823247,0.27636367026246017,2.0853572046492133
