date,ticker,region,sector,cap_group,close,log_return,rv_lag,sigma_t,rv_5,rv_60,har_daily,har_weekly,har_monthly,beta,vix_proxy,vix_beta_adj,rf_rate,r_lag1,S_lag1,sentiment,sentiment_flag,sent_lag1,sent_ma5,regime,bsm_naive,bsm_oracle
2018-01-31,0700.HK,HK,HStech,large,405.6429443359375,0.003890237027013163,0.29281058296367674,0.292111229165502,0.33709458472640996,,0.3333546232234143,0.33709458472640996,,,13.539999961853027,,0.02,0.02,404.0679626464844,,1,,,High_Vol,294.25114328688113,294.25114328688113
2018-02-01,0700.HK,HK,HStech,large,402.492919921875,-0.007795818764819697,0.292111229165502,0.28736595950780225,0.3368070649065382,,0.06175559828743255,0.3368070649065382,,,13.470000267028809,,0.02,0.02,405.6429443359375,,1,,,High_Vol,295.82612497633426,295.82612497633426
2018-02-02,0700.HK,HK,HStech,large,395.8431091308594,-0.016659562760324993,0.28736595950780225,0.2958517263381119,0.2884986389475362,,0.12375478630706191,0.2884986389475362,0.28186622719071175,,17.309999465942383,,0.02,0.02,402.492919921875,,1,,,High_Vol,292.67610056227176,292.67610056227176
2018-02-05,0700.HK,HK,HStech,large,385.8682556152344,-0.025521939177211555,0.2958517263381119,0.30880313416684835,0.17089731810089565,,0.2644623600893561,0.17089731810089565,0.28967025084382253,,37.31999969482422,,0.02,0.02,395.8431091308594,,1,,,High_Vol,286.02628977125613,286.02628977125613
2018-02-06,0700.HK,HK,HStech,large,358.7437744140625,-0.07288759113655531,0.30880313416684835,0.39979626880819913,0.18541163435541616,,0.4051482242341093,0.18541163435541616,0.2966822958646727,,29.979999542236328,,0.02,0.02,385.8682556152344,,1,,,High_Vol,276.05143625563113,276.05143625563113
2018-02-07,0700.HK,HK,HStech,large,362.9437255859375,0.011639382939427335,0.39979626880819913,0.40327730879158386,0.46866278128179106,,1.1570546388592864,0.46866278128179106,0.3876025879153976,,27.729999542236328,,0.02,0.02,358.7437744140625,,1,,,High_Vol,248.92695505445926,248.92695505445926
2018-02-08,0700.HK,HK,HStech,large,367.6686096191406,0.012934218807283952,0.40327730879158386,0.3980360860208434,0.4997027881543126,,0.18476947603183622,0.4997027881543126,0.3872654024661279,,33.459999084472656,,0.02,0.02,362.9437255859375,,1,,,High_Vol,253.12690622633426,253.12690622633426
2018-02-09,0700.HK,HK,HStech,large,356.46881103515625,-0.030935265670541164,0.3980360860208434,0.3943826572133034,0.5559701523113688,,0.20532435820180683,0.5559701523113688,0.387794056016184,,29.059999465942383,,0.02,0.02,367.6686096191406,,1,,,High_Vol,257.8517902595374,257.8517902595374
2018-02-12,0700.HK,HK,HStech,large,358.3937683105469,0.005385543973459827,0.3943826572133034,0.39075407772392734,0.5628363573778489,,0.4910821182357943,0.5628363573778489,0.3993470083435844,,25.610000610351562,,0.02,0.02,356.46881103515625,,1,,,High_Vol,246.651991675553,246.651991675553
2018-02-13,0700.HK,HK,HStech,large,369.5935363769531,0.030771558033780483,0.39075407772392734,0.39662274572328426,0.5891878382015061,,0.08549286017146406,0.5891878382015061,0.3927361572465408,,24.969999313354492,,0.02,0.02,358.3937683105469,,1,,,High_Vol,248.57694895094363,248.57694895094363
2018-02-14,0700.HK,HK,HStech,large,379.3934020996094,0.02616981553846585,0.39662274572328426,0.4071024593157675,0.36008366634651645,,0.4884833400682491,0.36008366634651645,0.3941088144644917,,19.260000228881836,,0.02,0.02,369.5935363769531,,1,,,High_Vol,259.7767170173499,259.7767170173499
2018-02-15,0700.HK,HK,HStech,large,391.1181945800781,0.030436135238682705,0.4071024593157675,0.4227641008794959,0.3882023369629146,,0.41543294262728714,0.3882023369629146,0.3995125866972344,,19.1299991607666,,0.02,0.02,379.3934020996094,,1,,,High_Vol,269.57658274000613,269.57658274000613
2018-02-20,0700.HK,HK,HStech,large,390.0682373046875,-0.002688110967573729,0.4227641008794959,0.42106871831104886,0.41846464754663276,,0.48315866826890375,0.41846464754663276,0.40393093899779015,,20.600000381469727,,0.02,0.02,391.1181945800781,,1,,,High_Vol,281.3013752204749,281.3013752204749
2018-02-21,0700.HK,HK,HStech,large,400.7430114746094,0.02699866145494628,0.42106871831104886,0.42827131270750013,0.24741292054482028,,0.0426724387004718,0.24741292054482028,0.40231120356233796,,20.020000457763672,,0.02,0.02,390.0682373046875,,1,,,High_Vol,280.25141794508426,280.25141794508426
2018-02-22,0700.HK,HK,HStech,large,390.59320068359375,-0.02565374179453913,0.42827131270750013,0.42038087323378076,0.22441741582131522,,0.42859046364847886,0.22441741582131522,0.41263385907048483,,18.719999313354492,,0.02,0.02,400.7430114746094,,1,,,High_Vol,290.92619211500613,290.92619211500613
2018-02-23,0700.HK,HK,HStech,large,396.7181091308594,0.015559364986370467,0.42038087323378076,0.4240188217982274,0.3884141407068635,,0.40724052591968635,0.3884141407068635,0.4208207715605613,,16.489999771118164,,0.02,0.02,390.59320068359375,,1,,,High_Vol,280.7763813239905,280.7763813239905
2018-02-26,0700.HK,HK,HStech,large,396.36810302734375,-0.0008826433264704127,0.4240188217982274,0.4159450991371975,0.3692277578069259,,0.24699726187213292,0.3692277578069259,0.420295218564921,,15.800000190734863,,0.02,0.02,396.7181091308594,,1,,,High_Vol,286.90128977125613,286.90128977125613
2018-02-27,0700.HK,HK,HStech,large,390.2431945800781,-0.015573211959481754,0.4159450991371975,0.4044696965421324,0.3176473177958659,,0.014011528429269036,0.3176473177958659,0.4048111120115075,,18.59000015258789,,0.02,0.02,396.36810302734375,,1,,,High_Vol,286.5512836677405,286.5512836677405
2018-02-28,0700.HK,HK,HStech,large,378.1684265136719,-0.03143045145841325,0.4044696965421324,0.41670663390310236,0.3434547821213453,,0.2472170757557137,0.3434547821213453,0.40607388741096956,,19.850000381469727,,0.02,0.02,390.2431945800781,,1,,,High_Vol,280.4263752204749,280.4263752204749
2018-03-01,0700.HK,HK,HStech,large,391.1181945800781,0.033670133065161444,0.41670663390310236,0.4326381167301326,0.3031816608687104,,0.498942948920693,0.3031816608687104,0.41174815123731245,,22.469999313354492,,0.02,0.02,378.1684265136719,,1,,,High_Vol,268.35160715406863,268.35160715406863
2018-03-02,0700.HK,HK,HStech,large,381.493408203125,-0.024916230287697336,0.4326381167301326,0.4397888394061029,0.40523456484864173,,0.5344967922052207,0.40523456484864173,0.4168574598469227,,19.59000015258789,,0.02,0.02,391.1181945800781,,1,,,High_Vol,281.3013752204749,281.3013752204749
2018-03-05,0700.HK,HK,HStech,large,371.86859130859375,-0.02555302925095235,0.4397888394061029,0.4467815258810016,0.41085580578922093,,0.39553289370277495,0.41085580578922093,0.4235177902424669,,18.729999542236328,,0.02,0.02,381.493408203125,,1,,,High_Vol,271.67658884352176,271.67658884352176
2018-03-06,0700.HK,HK,HStech,large,383.7683410644531,0.03149854936854512,0.4467815258810016,0.46109491859808044,0.42177320979078387,,0.4056417638542741,0.42177320979078387,0.42603979959805977,,18.360000610351562,,0.02,0.02,371.86859130859375,,1,,,High_Vol,262.0517719489905,262.0517719489905
2018-03-07,0700.HK,HK,HStech,large,379.9184265136719,-0.010082529457185706,0.46109491859808044,0.45364512245177274,0.5223834873151744,,0.5000239697307659,0.5223834873151744,0.4419497026502632,,17.760000228881836,,0.02,0.02,383.7683410644531,,1,,,High_Vol,273.9515217048499,273.9515217048499
2018-03-08,0700.HK,HK,HStech,large,387.6182556152344,0.020064415411120945,0.45364512245177274,0.36994263079896444,0.4693734267878048,,0.1600551931811786,0.4693734267878048,0.4423448800535961,,16.540000915527344,,0.02,0.02,379.9184265136719,,1,,,High_Vol,270.10160715406863,270.10160715406863
2018-03-09,0700.HK,HK,HStech,large,391.1181945800781,0.00898882421616921,0.36994263079896444,0.36932350749782644,0.41653668239081515,,0.3185127202783069,0.41653668239081515,0.44580970009567344,,14.640000343322754,,0.02,0.02,387.6182556152344,,1,,,High_Vol,277.80143625563113,277.80143625563113
2018-03-12,0700.HK,HK,HStech,large,402.492919921875,0.028667704213532732,0.36932350749782644,0.3786250156045472,0.3642489920542575,,0.14269316072915297,0.3642489920542575,0.43822403770753715,,15.779999732971191,,0.02,0.02,391.1181945800781,,1,,,High_Vol,281.3013752204749,281.3013752204749
2018-03-13,0700.HK,HK,HStech,large,404.9429931640625,0.006068793131960533,0.3786250156045472,0.3546874299084122,0.2687556054333865,,0.4550856960489967,0.2687556054333865,0.36197851938029635,,16.350000381469727,,0.02,0.02,402.492919921875,,1,,,High_Vol,292.67610056227176,292.67610056227176
2018-03-14,0700.HK,HK,HStech,large,405.6429443359375,0.001727025632859195,0.3546874299084122,0.35506033633039785,0.23368599504388032,,0.09633910431278618,0.23368599504388032,0.3612852863121793,,17.229999542236328,,0.02,0.02,404.9429931640625,,1,,,High_Vol,295.12617380445926,295.12617380445926
2018-03-15,0700.HK,HK,HStech,large,410.01788330078125,0.010727451341391839,0.35506033633039785,0.3436004423649707,0.175077294998686,,0.027415681994276218,0.175077294998686,0.3603131186283741,,16.59000015258789,,0.02,0.02,405.6429443359375,,1,,,High_Vol,295.82612497633426,295.82612497633426
2018-03-16,0700.HK,HK,HStech,large,407.0429382324219,-0.007282097333417489,0.3436004423649707,0.3369634197588163,0.16387947165456487,,0.17029301070521435,0.16387947165456487,0.33809531284666244,,15.800000190734863,,0.02,0.02,410.01788330078125,,1,,,High_Vol,300.201063941178,300.201063941178
2018-03-19,0700.HK,HK,HStech,large,404.0679626464844,-0.007335591034987574,0.3369634197588163,0.32334126410615743,0.21167535618165575,,0.1155997114031357,0.21167535618165575,0.3412378484858702,,19.020000457763672,,0.02,0.02,407.0429382324219,,1,,,High_Vol,297.22611887281863,297.22611887281863
2018-03-20,0700.HK,HK,HStech,large,408.2679138183594,0.01034052223297315,0.32334126410615743,0.3243400669597858,0.12765912746189537,,0.1164488975895122,0.12765912746189537,0.33200260224772377,,18.200000762939453,,0.02,0.02,404.0679626464844,,1,,,High_Vol,294.25114328688113,294.25114328688113
