date,ticker,region,sector,cap_group,close,log_return,rv_lag,sigma_t,rv_5,rv_60,har_daily,har_weekly,har_monthly,beta,vix_proxy,vix_beta_adj,rf_rate,r_lag1,S_lag1,sentiment,sentiment_flag,sent_lag1,sent_ma5,regime,bsm_naive,bsm_oracle
2018-02-01,AMZN,US,Consumer_Discretionary,large,69.5,-0.04287344522925761,0.15437821321295797,0.24227586541008866,0.05182698655645071,,0.14365049951944583,0.05182698655645071,,,13.470000267028809,,0.0278,0.027200000000000002,72.54450225830078,,0,,,Low_Vol,3.2266436114559115e-21,1.6142707960243093e-09
2018-02-02,AMZN,US,Consumer_Discretionary,large,71.49749755859375,0.028335697336222956,0.24227586541008866,0.253301604675012,0.399029800473324,,0.6805948435509854,0.399029800473324,,,17.309999465942383,,0.028399999999999998,0.0278,69.5,,0,,,High_Vol,2.9059646192533335e-11,2.0314780495318665e-10
2018-02-05,AMZN,US,Consumer_Discretionary,large,69.5,-0.028335697336222907,0.253301604675012,0.28274441045230037,0.4323563693448025,,0.4498152502634479,0.4323563693448025,0.2417814806477414,,37.31999969482422,,0.0277,0.028399999999999998,71.49749755859375,,0,,,High_Vol,2.434305825345729e-09,9.856096036447409e-08
2018-02-06,AMZN,US,Consumer_Discretionary,large,72.14199829101562,0.037309622701425335,0.28274441045230037,0.30263200537982143,0.4793385074590019,,0.4498152502634471,0.4793385074590019,0.27110931449630604,,29.979999542236328,,0.0279,0.0277,69.5,,0,,,High_Vol,1.3096384143239985e-08,1.162592359453003e-07
2018-02-07,AMZN,US,Consumer_Discretionary,large,70.83899688720703,-0.018226722717437444,0.30263200537982143,0.3158928202705077,0.5564813789726535,,0.5922718990657277,0.5564813789726535,0.29023358018395184,,27.729999542236328,,0.028399999999999998,0.0279,72.14199829101562,,0,,,High_Vol,1.178171226557138e-06,3.4253641256002656e-06
2018-02-08,AMZN,US,Consumer_Discretionary,large,67.5250015258789,-0.047911730278811245,0.3158928202705077,0.36964807888739565,0.5643258691031907,,0.28934025315642525,0.5643258691031907,0.30180688488981794,,33.459999084472656,,0.0285,0.028399999999999998,70.83899688720703,,0,,,High_Vol,1.2322550991345562e-06,4.253884330105047e-05
2018-02-09,AMZN,US,Consumer_Discretionary,large,66.9800033569336,-0.008103804791418619,0.36964807888739565,0.36804596223402797,0.5864636246694758,,0.7605751392032274,0.5864636246694758,0.35171770867776486,,29.059999465942383,,0.028300000000000002,0.0285,67.5250015258789,,0,,,High_Vol,4.960622498681352e-06,4.477768165664993e-06
2018-02-12,AMZN,US,Consumer_Discretionary,large,69.3115005493164,0.034216728035250644,0.36804596223402797,0.379000185237806,0.5042716528926452,,0.12864391290904395,0.5042716528926452,0.35391447280080957,,25.610000610351562,,0.0286,0.028300000000000002,66.9800033569336,,0,,,High_Vol,3.0442643621444055e-06,6.109642977798844e-06
2018-02-13,AMZN,US,Consumer_Discretionary,large,70.72550201416016,0.02019536975735599,0.379000185237806,0.3835857313133089,0.5753680373292896,,0.5431737183576296,0.5753680373292896,0.3691682347796965,,24.969999313354492,,0.028300000000000002,0.0286,69.3115005493164,,0,,,High_Vol,2.7578336796051876e-05,3.514995754883596e-05
2018-02-14,AMZN,US,Consumer_Discretionary,large,72.55249786376953,0.02550419300925882,0.3835857313133089,0.3882460046805619,0.5139890948678616,,0.3205915560777528,0.5139890948678616,0.37034635633426793,,19.260000228881836,,0.0291,0.028300000000000002,70.72550201416016,,0,,,High_Vol,8.039287127226688e-05,0.00010024259602997446
