date,ticker,region,sector,cap_group,close,log_return,rv_lag,sigma_t,rv_5,rv_60,har_daily,har_weekly,har_monthly,beta,vix_proxy,vix_beta_adj,rf_rate,r_lag1,S_lag1,sentiment,sentiment_flag,sent_lag1,sent_ma5,regime,bsm_naive,bsm_oracle
2018-01-31,601318.SS,CN,CSI300,large,52.844146728515625,0.022902816165112007,0.29998532687544543,0.29693064338116415,0.3156741486790023,,0.004324740909604281,0.3156741486790023,,,13.539999961853027,,0.0435,0.0435,51.647621154785156,0.0,1,0.0,0.0,High_Vol,1.341252621833635e-18,5.963378326264731e-19
2018-02-01,601318.SS,CN,CSI300,large,53.12568283081055,0.005313526800274087,0.29693064338116415,0.29706340244422597,0.36795796736915654,,0.36357093537549834,0.36795796736915654,,,13.470000267028809,,0.0435,0.0435,52.844146728515625,0.0,1,0.0,0.0,High_Vol,6.447856887649412e-18,6.668648638991705e-18
2018-02-02,601318.SS,CN,CSI300,large,53.498714447021484,0.0069971441377995845,0.29706340244422597,0.29619527462575,0.35591557768108484,,0.08434962298921203,0.35591557768108484,0.29545357779723586,,17.309999465942383,,0.0435,0.0435,53.12568283081055,0.0,1,0.0,0.0,High_Vol,1.1465254503702591e-17,9.220587158874923e-18
2018-02-05,601318.SS,CN,CSI300,large,53.287559509277344,-0.0039547257362535755,0.29619527462575,0.29160208741983057,0.35015522929026954,,0.111076219657747,0.35015522929026954,0.2828981203344145,,37.31999969482422,,0.0435,0.0435,53.498714447021484,0.0,1,0.0,0.0,High_Vol,1.879079219275634e-17,5.87530046971467e-18
2018-02-06,601318.SS,CN,CSI300,large,51.922115325927734,-0.025958085258666715,0.29160208741983057,0.29742461414315535,0.1623946273047385,,0.06277932480956266,0.1623946273047385,0.28391082445157373,,29.979999542236328,,0.0435,0.0435,53.287559509277344,0.0,1,0.0,0.0,High_Vol,3.88382199253409e-18,1.706964994038259e-17
2018-02-07,601318.SS,CN,CSI300,large,50.23994827270508,-0.03293432103509013,0.29742461414315535,0.3212883397310669,0.2845895943603543,,0.4120718286350633,0.2845895943603543,0.2995039372174644,,27.729999542236328,,0.0435,0.0435,51.922115325927734,0.0,1,0.0,0.0,High_Vol,1.1866974627358168e-18,3.341566621851602e-16
2018-02-08,601318.SS,CN,CSI300,large,48.55778121948242,-0.034056038374568984,0.3212883397310669,0.3386008782957609,0.2906095606737789,,0.522816138345671,0.2906095606737789,0.3186007779275633,,33.459999084472656,,0.0435,0.0435,50.23994827270508,0.0,1,0.0,0.0,High_Vol,1.6263209365956603e-17,6.429976370265127e-16
2018-02-09,601318.SS,CN,CSI300,large,45.348270416259766,-0.06838241690816718,0.3386008782957609,0.3963458074709633,0.29338721266894724,,0.5406228490750914,0.29338721266894724,0.32629205258713645,,29.059999465942383,,0.0435,0.0435,48.55778121948242,0.0,1,0.0,0.0,High_Vol,3.3986986717859535e-17,6.302526271361244e-13
2018-02-12,601318.SS,CN,CSI300,large,45.7213134765625,0.008192529949787763,0.3963458074709633,0.35570312542145477,0.36771295246925756,,1.0855372151312925,0.36771295246925756,0.39645068545731077,,25.610000610351562,,0.0435,0.0435,45.348270416259766,0.0,1,0.0,0.0,High_Vol,6.216851390620207e-15,3.4347872357098187e-18
2018-02-13,601318.SS,CN,CSI300,large,47.17121124267578,0.031219207985839,0.35570312542145477,0.38174966418512,0.43265739002384807,,0.13005238113352138,0.43265739002384807,0.39424134469872496,,24.969999313354492,,0.0435,0.0435,45.7213134765625,0.0,1,0.0,0.0,High_Vol,6.948437130991211e-18,1.014625784599334e-15
