Model,MAE,RMSE,R2
Linear Regression,0.012146809149275255,0.01669928465472452,0.8855277913560615
Random Forest,0.012892680144893793,0.01721550047452683,0.8783411709478578
XGBoost,0.0147264389815057,0.01878088532781673,0.8552107065726395
Persistence Baseline,0.011317152018113045,0.016596502321168757,0.8869325835480532
