Model,MAE,RMSE,R2
Linear Regression,0.01836131309200012,0.023886813124336607,0.8117012048146464
Random Forest,0.026877175115329586,0.03365201051280188,0.6262741406154166
XGBoost,0.028719891278984038,0.03494932324427774,0.5969038423498358
Persistence Baseline,0.014455907344443852,0.020917562135586376,0.8556046350076858
