date,regime,pred_vol,true_bsm_price,bsm_price,heston_price,sabr_price,ensemble_price
2018-08-14,Low_Vol,0.1942755190467685,6.388972128977684,6.477234470853347,6.217031660003414,6.478285020015193,6.45602209990115
2018-08-16,High_Vol,0.19433202308334102,6.295455789095129,6.436693436099475,6.169809028125428,6.437745852556446,6.414924865307901
2018-08-21,Low_Vol,0.19222266938823604,6.585848117434722,6.69880667767093,6.469925793351081,6.699847067098844,6.680201010916839
2018-08-22,Low_Vol,0.1853470746579247,6.025236107700223,6.217796914147058,5.969877134100798,6.218803487748588,6.197588458142608
2018-08-23,Low_Vol,0.1882053115319952,5.861268776446309,6.058878484591062,5.775884519354705,6.059898391032064,6.035751946049839
2018-08-27,Low_Vol,0.17259203979466614,7.618751379859518,7.679100260671802,7.593483837784689,7.679907468084124,7.672331978237748
2018-08-30,Low_Vol,0.17094817516586788,6.489832037560191,6.5819880623274685,6.437111708551441,6.582881101722563,6.570318498178711
2018-09-04,Low_Vol,0.17100118189462804,6.7160596271905035,6.81947437764957,6.693216313179462,6.820345888674964,6.809347189222903
2018-09-05,Low_Vol,0.16327968702547419,6.267605036280585,6.369877353432059,6.24054144745682,6.370718221780194,6.359479526673267
2018-09-07,Low_Vol,0.15788858206198744,6.324111568900477,6.4155145144220285,6.309750244078103,6.416300609208733,6.407056805626096
2018-09-10,Low_Vol,0.15277530323730598,5.838892247575018,5.936350538060225,5.816685363707009,5.937132254427297,5.926731884241889
2018-09-11,Low_Vol,0.1513295874244295,6.700255591383609,6.753431147811824,6.685215230523369,6.754112403345076,6.74805588798562
2018-09-12,Low_Vol,0.14811800790998575,5.561417591587627,5.644653307413748,5.5224363431223935,5.645415011640793,5.634812741640208
2018-09-13,Low_Vol,0.15377592514715344,5.905122974622401,5.995855286173352,5.878088198591129,5.996637739628824,5.986395216347503
2018-09-14,Low_Vol,0.15072358723602283,6.028413541043804,6.104379571185575,6.004932207622929,6.105124280200144,6.096429558484177
2018-09-17,Low_Vol,0.14690670161331393,6.2955982640558545,6.354406694895843,6.279750628033085,6.355089228381786,6.348495095172929
2018-09-18,Low_Vol,0.14371072840960236,7.088191311824758,7.117703856631223,7.079219628700557,7.118244701804343,7.114743067385886
2018-09-20,Low_Vol,0.14535021907590423,10.721475326428717,10.723978936660757,10.721333446136995,10.724112073557663,10.723819353015024
2018-09-21,Low_Vol,0.1415175610450802,10.091121609926631,10.09423538446643,10.090825023285433,10.094389673663414,10.094021719855686
2018-09-24,Low_Vol,0.15282535331260683,9.249088671061344,9.261298561907111,9.248379187326933,9.26163960813848,9.260377648511565
2018-09-25,Low_Vol,0.15614349368142327,9.124467971053164,9.139762751029707,9.12333072210123,9.140152027066662,9.138571070859674
2018-09-26,Low_Vol,0.15735750306426988,7.737243117872069,7.775646073902351,7.7322687203748615,7.776245832600836,7.772304318874784
2018-10-01,Low_Vol,0.15798575403110937,6.729844362880968,6.796241037955284,6.716459276903549,6.796970754376559,6.789923710390643
2018-10-02,Low_Vol,0.159087108645492,6.828744118869039,6.891986342195949,6.812480737098994,6.892721078551929,6.88569433724326
2018-10-03,Low_Vol,0.15124252238121152,8.386101735573718,8.406276834109235,8.385357731957242,8.406705590418468,8.404729141190586
2018-10-05,Low_Vol,0.14605676913687782,9.257085982151992,9.264826870804598,9.256826359322588,9.26508329120415,9.264277293063692
2018-10-09,Low_Vol,0.13246496829907606,9.04155742098483,9.03925841763025,9.035249605610261,9.039423251321594,9.038999688493528
2018-10-10,Low_Vol,0.13451983889688537,6.737247869868398,6.655443058753335,6.6226983525098575,6.65592611904907,6.652934317541151
2018-10-11,Low_Vol,0.15589639415494028,3.86834655632461,3.7609646608524514,3.3414059079210148,3.761701905147035,3.726323050170458
2018-10-12,Low_Vol,0.1803550847551003,3.1915721580944947,3.2698754117169244,2.451413029808805,3.2705576164079133,3.201951384084701
2018-10-15,Low_Vol,0.18641254895187065,3.061812678399697,3.023854883809882,2.0253659155863772,3.0244970194011387,2.940903411458339
2018-10-16,High_Vol,0.1914783537299433,4.458102677715289,4.443374499009863,3.8812619116801272,4.444257289340584,4.396914613936119
2018-10-18,High_Vol,0.19344457722714575,4.158831283399266,4.172290580983727,3.52025771722127,4.173135245035809,4.118316442720848
2018-10-19,High_Vol,0.1872836714146197,4.211683883371265,4.173060179535327,3.5846442544980164,4.173897809242433,4.124386661732172
