date,regime,bsm_delta,bsm_gamma,bsm_vega,bsm_theta,bsm_rho,heston_delta,heston_gamma,heston_vega,heston_theta,heston_rho,sabr_delta,sabr_gamma,sabr_vega,sabr_theta,sabr_rho
2018-08-14,Low_Vol,0.9098166669922909,0.03318710456884483,4.350958458786456,-229.883771651252,6.4908215028603395,1.000000000000655,0.0,0.0,-249.86069303167824,7.204748934016096,0.9097953337890746,0.03312664377700412,4.357263159608743,-229.89399534594668,6.490575650521194
2018-08-16,Low_Vol,0.9096594255488859,0.033475685669777724,4.361151344524568,-228.64723434976497,6.500989918243609,1.0000000000000024,0.0,0.0,-248.54545069530332,7.216766861071524,0.9096382600242252,0.03341473829861117,4.3674569425441465,-228.65743705210662,6.500745777142201
2018-08-21,Low_Vol,0.9171462344840879,0.03095300922095404,4.1076304158955175,-229.18780438837115,6.569326265641469,0.999999999999522,0.0,0.0,-247.22512534566476,7.228804834668559,0.9171113177776484,0.030894654972545562,4.114452257527993,-229.19505206829172,6.568974130067616
2018-08-22,Low_Vol,0.8936226074746231,0.03625738229492988,4.924352450158154,-222.18719259059029,6.401049565698796,0.9999999999993345,0.0,0.0,-245.2350775774903,7.2468994555995945,0.8936298538943223,0.03619749508823391,4.929718953680806,-222.20461077409936,6.401021249979562
2018-08-23,Low_Vol,0.8839702234874637,0.03824221507194466,5.229403504000145,-220.04121269439992,6.325494291101052,0.9999999999992448,0.0,0.0,-245.2350775774903,7.2468994555995945,0.8839930264157146,0.03818331737013388,5.234269102699095,-220.06225958591585,6.325585438812175
2018-08-27,Low_Vol,0.9385107048636389,0.023233325942507058,3.3069265285579954,-234.09594673372425,6.733568406204067,0.9999999999999034,0.0,0.0,-247.22512534566476,7.228804834668559,0.9384349366880508,0.023187501008150795,3.3153939184172754,-234.09437213302908,6.732891407417601
2018-08-30,Low_Vol,0.910092188063351,0.031966279966441406,4.361524313349711,-228.26729808145686,6.507141801373453,0.999999999999531,0.0,0.0,-247.88592422709144,7.222783339950216,0.9100707909673915,0.03190799911434623,4.3678605318381365,-228.27812626388777,6.506891788782431
2018-09-04,Low_Vol,0.925343553824267,0.028748036170749742,3.7902036718532446,-234.03204228647303,6.605721898489421,1.0000000000001639,0.0,0.0,-250.51641221836007,7.198747477539083,0.9252928935867751,0.02869225179226474,3.7975918654076923,-234.03525950953963,6.605249629804324
2018-09-05,Low_Vol,0.9122313568247511,0.032770416266555524,4.261704693422886,-231.00810750512076,6.504511607892415,1.0000000000004245,0.0,0.0,-250.51641221836007,7.198747477539083,0.9122054980984629,0.03270998319582292,4.268163403096026,-231.01712051555978,6.504231721552953
2018-09-07,Low_Vol,0.9162304367342362,0.031888477902708295,4.105799810105051,-234.27058360717845,6.513978966785097,1.000000000000502,0.0,0.0,-253.12664769359117,7.174791601292267,0.9161970598312736,0.03182858100301642,4.112507871165217,-234.2775595118951,6.513642660732772
2018-09-10,Low_Vol,0.8975908099433187,0.03689777365108199,4.738042340807363,-229.92930414171497,6.3702978652977045,1.0000000000004774,0.0,0.0,-253.12664769359117,7.174791601292267,0.8975909458222071,0.03683514618522193,4.74357904842377,-229.94431687720862,6.370218245132535
2018-09-11,Low_Vol,0.9278753327062498,0.02839142252716443,3.6684134124443144,-239.3530569016859,6.5817714808218994,1.0000000000000393,0.0,0.0,-255.71673631247904,7.150915444979838,0.9278196330622764,0.028335972153321155,3.6759435976029793,-239.35444403235806,6.581264371654977
