date,rolling_vol,regime,actual_vol,lr_pred_vol,rf_pred_vol,xgb_pred_vol,best_vol_pred,two_step_price,e2e_price,true_bsm_price,bsm_baseline_price,vol_residual,two_step_price_residual,e2e_price_residual
2018-08-14,0.17381075861709674,Low_Vol,0.1741633350820465,0.1942755190467685,0.18318116867630616,0.19115362,0.1942755190467685,6.477234470853347,7.0487084,6.388972128977684,6.40384169245678,-0.020112183964722002,-0.08826234187566229,-0.6597363098956066
2018-08-16,0.1741633350820465,High_Vol,0.16045457754819217,0.19433202308334102,0.181647046462576,0.18701796,0.19433202308334102,6.436693436099475,7.389937,6.295455789095129,6.345263114075166,-0.03387744553514885,-0.1412376470043455,-1.0944811348855836
2018-08-21,0.16045457754819217,Low_Vol,0.1629533244533365,0.19222266938823604,0.18327054960745634,0.19330713,0.19222266938823604,6.69880667767093,6.971461,6.585848117434722,6.6247474162809254,-0.02926934493489955,-0.11295856023620843,-0.3856127018096629
2018-08-22,0.1629533244533365,Low_Vol,0.13151794981443865,0.1853470746579247,0.1887109470662133,0.19364561,0.1853470746579247,6.217796914147058,6.316757,6.025236107700223,6.111641621086022,-0.05382912484348604,-0.19256080644683493,-0.29152109444821406
2018-08-23,0.13151794981443865,Low_Vol,0.13974746634060392,0.1882053115319952,0.19079568950713205,0.19219948,0.1882053115319952,6.058878484591062,6.1741276,5.861268776446309,5.942356404413516,-0.04845784519139129,-0.19760970814475343,-0.3128588022890426
2018-08-27,0.13974746634060392,Low_Vol,0.14002899504797348,0.17259203979466614,0.19191572641347285,0.19309981,0.17259203979466614,7.679100260671802,6.0626535,7.618751379859518,7.609780927816587,-0.032563044746692665,-0.06034888081228473,1.5560978382945763
2018-08-30,0.14002899504797348,Low_Vol,0.13868764714973023,0.17094817516586788,0.1888556654070447,0.19083464,0.17094817516586788,6.5819880623274685,6.1307497,6.489832037560191,6.492070192239183,-0.03226052801613766,-0.09215602476727724,0.35908233510657794
2018-09-04,0.13868764714973023,Low_Vol,0.12499925235758945,0.17100118189462804,0.18261640528192466,0.18603653,0.17100118189462804,6.81947437764957,6.21584,6.7160596271905035,6.739241268958011,-0.04600192953703859,-0.10341475045906634,0.5002197643670172
2018-09-05,0.12499925235758945,Low_Vol,0.12122453516510466,0.16327968702547419,0.1818952698139306,0.17754355,0.16327968702547419,6.369877353432059,6.228506,6.267605036280585,6.299580194797272,-0.042055151860369525,-0.10227231715147411,0.03909894802374936
2018-09-07,0.12122453516510466,Low_Vol,0.111742562621411,0.15788858206198744,0.18093939732236897,0.1747053,0.15788858206198744,6.4155145144220285,6.379494,6.324111568900477,6.340145959487998,-0.04614601944057645,-0.09140294552155126,-0.055382621315587244
2018-09-10,0.111742562621411,Low_Vol,0.1113838541001054,0.15277530323730598,0.1823958462532575,0.17370777,0.15277530323730598,5.936350538060225,6.6867604,5.838892247575018,5.854046691337842,-0.04139144913720058,-0.09745829048520704,-0.8478681779926092
2018-09-11,0.1113838541001054,Low_Vol,0.11833983211868693,0.1513295874244295,0.1812276997808377,0.1760757,0.1513295874244295,6.753431147811824,5.8462405,6.700255591383609,6.694971513994503,-0.03298975530574258,-0.05317555642821503,0.8540150709063141
2018-09-12,0.11833983211868693,Low_Vol,0.11747242530284316,0.14811800790998575,0.180961568145816,0.17964244,0.14811800790998575,5.644653307413748,6.7500057,5.561417591587627,5.550935992801882,-0.03064558260714259,-0.08323571582612033,-1.188588130458271
2018-09-13,0.11747242530284316,Low_Vol,0.1161376127515113,0.15377592514715344,0.18301027443995949,0.18367323,0.15377592514715344,5.995855286173352,5.4095163,5.905122974622401,5.908445926602113,-0.03763831239564214,-0.0907323115509513,0.4956066400887096
2018-09-14,0.1161376127515113,Low_Vol,0.11576050701094232,0.15072358723602283,0.18262881481851662,0.17207146,0.15072358723602283,6.104379571185575,5.406397,6.028413541043804,6.0307288855189825,-0.03496308022508052,-0.07596603014177106,0.6220166751990774
2018-09-17,0.11576050701094232,Low_Vol,0.11330214732717311,0.14690670161331393,0.18184661551797215,0.17849824,0.14690670161331393,6.354406694895843,5.242336,6.2955982640558545,6.298571645105184,-0.033604554286140814,-0.058808430839988546,1.0532624676996534
2018-09-18,0.11330214732717311,Low_Vol,0.11665321563610953,0.14371072840960236,0.1823361996170984,0.17991784,0.14371072840960236,7.117703856631223,5.5566382,7.088191311824758,7.087649223144581,-0.02705751277349283,-0.029512544806465257,1.5315530710105492
2018-09-20,0.11665321563610953,Low_Vol,0.11555953361118604,0.14535021907590423,0.17087199583610643,0.17693065,0.14535021907590423,10.723978936660757,7.322996,10.721475326428717,10.721437805975043,-0.029790685464718192,-0.0025036102320399323,3.3984791869023496
