date,delta,gamma,vega,theta,rho,pred_vol,two_step_price
2018-08-14,0.8972858855150454,0.03443183972714529,4.787547034964438,-227.17961892257622,6.389821217171424,0.1942755190467685,6.477234470853347
2018-08-16,0.8952283595940255,0.03488418230500242,4.862014565451482,-225.55282029158886,6.384545572909399,0.19433202308334102,6.436693436099475
2018-08-21,0.907264877873083,0.03209939625915357,4.467836479052573,-227.0893096669813,6.489368214637998,0.19222266938823604,6.69880667767093
2018-08-22,0.8975403889006084,0.03592517821782039,4.792258720239897,-223.01372687339972,6.432752365975099,0.1853470746579247,6.217796914147058
2018-08-23,0.8870074209496863,0.03804346449548012,5.131596389696018,-220.68163038086703,6.350084757617962,0.1882053115319952,6.058878484591062
2018-08-27,0.9562920409203965,0.019698347248341224,2.521466179219291,-237.8406201127264,6.878055852802868,0.17259203979466614,7.679100260671802
2018-08-30,0.9300805967973802,0.029195418568938317,3.605747878211948,-232.5506921028355,6.668191025160382,0.17094817516586788,6.5819880623274685
2018-09-04,0.9377848540174615,0.02667134514315122,3.2927488541215713,-236.7351159784865,6.705653227128295,0.17100118189462804,6.81947437764957
2018-09-05,0.9336301516223618,0.029515405834464575,3.445568653793182,-235.68901701147337,6.675674390315417,0.16327968702547419,6.369877353432059
2018-09-07,0.9423150803156671,0.02742324821932122,3.08106215838584,-240.06280392253367,6.72176918112073,0.15788858206198744,6.4155145144220285
2018-09-10,0.9337602558781535,0.03174065672678912,3.4139164942106093,-238.0043909433102,6.657455163762216,0.15277530323730598,5.936350538060225
2018-09-11,0.9589954209830244,0.02176022890127844,2.347760810312766,-246.3427189628447,6.829166804084715,0.1513295874244295,6.753431147811824
2018-09-12,0.9304124848646892,0.03419870829327518,3.5267595502685984,-238.95125942687423,6.616638603622177,0.14811800790998575,5.644653307413748
2018-09-13,0.9349289777426022,0.03115394922990835,3.361497694903221,-240.08909152938233,6.649483362006165,0.15377592514715344,5.995855286173352
2018-09-14,0.942666261249935,0.028795762479139217,3.044304217510286,-243.08931149523642,6.698333912525946,0.15072358723602283,6.104379571185575
2018-09-17,0.9542902410051691,0.024597152080167228,2.5497795223761863,-245.80890704390816,6.788222654600539,0.14690670161331393,6.354406694895843
2018-09-18,0.9739492583516255,0.015783083546190884,1.613466887716903,-254.13417450913408,6.905544795053077,0.14371072840960236,7.117703856631223
2018-09-20,0.9977916163697697,0.0017240314252774216,0.19201564715861835,-260.9805364181312,7.079616702493163,0.14535021907590423,10.723978936660757
2018-09-21,0.9971209398271954,0.0022653829802521375,0.2424363128136054,-260.82472036698954,7.0743449075135905,0.1415175610450802,10.09423538446643
2018-09-24,0.9908768595267559,0.005909573510537341,0.6699289428856718,-260.0279165817429,7.018766878176347,0.15282535331260683,9.261298561907111
2018-09-25,0.9888589636706883,0.006905287794453662,0.7952863013080108,-260.81202623122266,6.991047138221597,0.15614349368142327,9.139762751029707
2018-09-26,0.9734556832357264,0.014550591285416394,1.6493063118962097,-254.70954749472747,6.89412753694332,0.15735750306426988,7.775646073902351
2018-10-01,0.954467970606928,0.02286900459411194,2.5342148642744733,-251.9842589121549,6.730907223163414,0.15798575403110937,6.796241037955284
2018-10-02,0.9550411505644737,0.022387683192333575,2.5189053838099076,-249.7305834180933,6.757547299762895,0.159087108645492,6.891986342195949
2018-10-03,0.985605636478231,0.009002976291244061,0.9811701676616172,-263.1104162693812,6.937038316484845,0.15124252238121152,8.406276834109235
2018-10-05,0.993778940143196,0.0044631230520530765,0.4728564725899749,-269.9686503951695,6.954444454676413,0.14605676913687782,9.264826870804598
2018-10-09,0.9963764104684965,0.003041784707353681,0.29176973621103747,-269.3587666396835,6.9866788947698995,0.13246496829907606,9.03925841763025
2018-10-10,0.9756466383555626,0.016226727721636244,1.4975490643743286,-264.82810034032934,6.8224482398304955,0.13451983889688537,6.655443058753335
2018-10-11,0.8112481143085538,0.06823170732576977,6.8669316604255854,-218.81817524594666,5.636809870948358,0.15589639415494028,3.7609646608524514
2018-10-12,0.7172364488016605,0.07462249107588433,8.499775426688451,-195.5813761754133,4.930780684405689,0.1803550847551003,3.2698754117169244
