param,value,RMSE,R2,is_best
kappa,0.5,11.9584,-19.659,True
kappa,1.0,12.0535,-19.9891,False
kappa,2.0,12.2505,-20.6806,False
kappa,4.0,12.6692,-22.188,False
rho,-0.9,11.9781,-19.7272,False
rho,-0.7,11.9716,-19.7047,False
rho,-0.5,11.965,-19.682,False
rho,-0.3,11.9584,-19.659,True
xi,0.2,11.9584,-19.659,True
theta,0.06,11.9584,-19.659,True
