Model,Regime,Sample_Size,RMSE,R2,Directional_Acc
Linear Regression (Ridge L2),Low_Vol,44,0.051351619792725456,-0.5451543860717494,0.5813953488372093
Linear Regression (Ridge L2),High_Vol,15,0.044552279071786445,-4.730028313517229,0.35714285714285715
Random Forest,Low_Vol,44,0.047659596606780104,-0.3309578711073191,0.5116279069767442
Random Forest,High_Vol,15,0.043212696513748754,-4.39063159582853,0.5
XGBoost,Low_Vol,44,0.04923781582492004,-0.420565109276235,0.5348837209302325
XGBoost,High_Vol,15,0.04575419715775472,-5.043364594234741,0.7857142857142857
BSM Baseline (Lagged Vol),Low_Vol,44,0.01580823643933644,0.8535698758822177,0.6046511627906976
BSM Baseline (Lagged Vol),High_Vol,15,0.02228327064027751,-0.4334243820778303,0.5
