Model,RMSE,R2
Linear Regression (Ridge L2),0.03382356019100936,0.7310938792129691
Random Forest,0.046569301673586444,0.4902449912878718
XGBoost,0.04837593754716147,0.449926351390151
E2E Pricing,1.4618053287364603,0.6912946404532689
